STEFFON BARATHEON, Man
CASSANA ESTERMONT, Woman
ROBERT BARATHEON, Man
CERSEI LANNISTER, Woman
STANNIS BARATHEON, Man
SELYSE BARATHEON, Woman
RENLY BARATHEON, Man
MARGAERY TYRELL, Woman
GENDRY, Man
JOFFREY BARATHEON, Man
MYRCELLA BARATHEON, Woman
TOMMEN BARATHEON, Man
SHIREEN BARATHEON, Woman
POKOS, Man
BABI, Man
LABI, Woman
Mooka, Woman
UNCLE SAM, Man
AUNT POPI, Woman
MARIA, Woman
GIANNIS, Man
STEFFON BARATHEON, Husband, CASSANA ESTERMONT
STEFFON BARATHEON, Father, ROBERT BARATHEON
STEFFON BARATHEON, Father, STANNIS BARATHEON
STEFFON BARATHEON, Father, RENLY BARATHEON
CASSANA ESTERMONT, Mother, ROBERT BARATHEON
CASSANA ESTERMONT, Mother, STANNIS BARATHEON
CASSANA ESTERMONT, Mother, RENLY BARATHEON
ROBERT BARATHEON, Husband, CERSEI LANNISTER
STANNIS BARATHEON, Husband, SELYSE BARATHEON
RENLY BARATHEON, Husband, MARGAERY TYRELL
ROBERT BARATHEON, Father, GENDRY
CERSEI LANNISTER, Mother, JOFFREY BARATHEON
CERSEI LANNISTER, Mother, MYRCELLA BARATHEON
CERSEI LANNISTER, Mother, TOMMEN BARATHEON
STANNIS BARATHEON, Father, SHIREEN BARATHEON
SELYSE BARATHEON, Mother, SHIREEN BARATHEON
SHIREEN BARATHEON, Mother, MARIA
SHIREEN BARATHEON, Mother, GIANNIS
STANNIS BARATHEON, Father, POKOS
STANNIS BARATHEON, Father, UNCLE SAM
SELYSE BARATHEON, Mother, AUNT POPI
POKOS, Father, BABI
SELYSE BARATHEON, Mother, Mooka
Mooka, Mother, BABI
Mooka, Mother, LABI
POKOS, Father, LABI

